순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,설명,할인율(%),설명길이
65,9791193262412,143847263,죽음은 통제할 수 없지만 인생은 설계할 수 있다,22000,19800,1100,비탈리 카스넬슨 저/함희영 역,필름,"★★ 포브스 매거진 극찬 ""새로운 시대의 벤저민 그레이엄""
★★ ""감동적이고, 정직하며, 통찰력있는 이 책을 내려놓기가 어려웠다!"" 《불변의 법칙》, 《돈의 심리학》 모건 하우절 강력 추천!

흔들리지 않는 삶을 위해서
우리는 무엇을 실천해야 할까?

세계적인 명사들이 극찬한
지혜로운 내면의 힘

우리는 매일 같은 일상을 반복하며 돈을 벌고, 미래를 계획한다. 하지만 인생의 본질적인 질문은 여전히 남아 있다. 우리는 무엇을 위해 살아가는가? 돈과 성공이 삶의 목적이 될 수 있는가? 투자자이자 작가인 비탈리 카스넬슨은 경제적 자유를 넘어, 진정으로 의미 있는 삶을 찾기 위한 여정을 시작했다. 투자자로서 큰 성공을 거두었지만, 그는 돈만을 좇는 것이 인생의 궁극적 목표가 될 수 없음을 깨달았다. 결국 중요한 것은 우리가 통제할 수 없는 죽음을 두려워하기보다, 지금 이 순간을 어떻게 살아가느냐에 달려있다.",10.0,453
66,9791173320996,142763251,나는 보았습니다,17800,16020,890,박진여 저,김영사,"세계가 주목하는 전생 연구가 박진여 소장이 전하는 삶의 이유와 성장의 길
전생과 미래생, 물질과 영혼, 생명과 우주, 시간과 공간을 넘나드는 리딩과의 대화

전생 리딩(Reading) 상담가 박진여 소장의 5년 만의 신작! 타인의 전생을 읽는 특별한 영적 능력으로 ‘잠자는 예언자’ 에드거 케이시와 비교되며 국내외 연구자들의 주목을 받아온 그녀가, 인간 존재에 대한 근원적인 궁금증을 우주와 미래로 확장하여 23개의 질문과 답으로 풀어냈다. 탄생과 죽음을 관장하는 카르마의 원리부터 영혼의 윤회와 영적 성장의 길, 신인류의 탄생과 대한민국의 미래, AI와 기후위기의 위협과 해법, 우주의 법칙과 신의 존재에 대한 탐구 등 다채로운 주제가 펼쳐진다. 개인의 인연법부터 인류의 미래 예언까지 생생한 리딩을 통해 저자가 본 통찰과 비전은, 인류의 오랜 정신적 전통은 물론이고 현대 과학과도 만나고 있음을 목격할 수 있다.",10.0,456
67,9788936414085,25283908,나는 3학년 2반 7번 애벌레,11000,9900,550,김원아 글/이주희 그림,창비,"제20회 창비 ‘좋은 어린이책’ 원고 공모 대상작
30만부 기념 YES24 리커버 한정판 출간

“우리의 친구 7번 애벌레를 소개합니다!”

제20회 창비 ‘좋은 어린이책’ 원고 공모 대상 수상작으로 2016년에 출간되어 30만 독자의 사랑을 받은 동화 『나는 3학년 2반 7번 애벌레』가 리커버 한정판으로 온라인 서점 YES24에서 다시 한번 독자들과 만난다. 배추흰나비의 한살이라는 친근한 소재를 이제껏 볼 수 없었던 신선한 주인공 ‘무늬 애벌레’를 통해 새롭게 그려 내어 사랑받아 온 작품이다. 주어진 환경에 안주하지 않는 호기심 가득한 주인공 캐릭터가 깊은 인상을 남기며, 미약한 주인공의 고군분투는 어린이 독자들에게 용기와 감동을 안기기에 충분하다.",10.0,368
68,9788933803653,142761849,이어령의 말,22000,19800,1100,이어령 저,세계사,"나를 향해 쓴 글이 당신을 움직이기를
천 개의 단어, 생각의 틈을 비집는 문장들, 그리고 억겁의 시간이 모인 결정체
이어령의 말들

한 사람의 글에는 그 사람의 생이 담겨 있다. 이어령의 온 생이 고이 담긴 책 한 권이 우리를 찾아왔다. 2022년 2월 눈감을 때까지 평생 쉼 없이 읽고 쓰며 수많은 저작을 남긴 이어령은 생전 글 쓰는 일이 자신을 향해 있다고 말했다. 하지만 나를 향해 쓴 글이 다른 사람에게 가닿아 그에게 느껴지고 그를 움직일 수 있게 한다면 그것이 곧 ‘감동’이며, 더없이 기쁜 일일 것이라 덧붙였다. 이것이 지면과 화면을 빌려 세상에 나온 글이 지닌 선순환적 역할이며, 먼저 돌아간 이가 지금을 살아가는 이들에게 남길 수 있는 가장 값진 유산일 것이다. 이제 그의 지성을 빌려 쓸 기회가 우리에게 주어졌다.",10.0,408
69,9791173571268,143752594,마법천자문 66,15800,14220,790,알에스미디어 글/정수영 그림/강용철 감수,아울북,"천왕보검의 빛을 따라 설산을 오르기 시작한 손오공 일행!
수많은 위험과 고난을 헤치고 도착한 설국 웨르에서
드디어 옥황계에 소식을 전할 수 있는 방법을 찾았다고?

토의 정수를 얻는 데 실패한 마하가라는 크게 분노하고, 세상을 파멸에 빠뜨리기 위해 또 다른 계획을 세운다. 한편 손오공과 친구들은 혼란스러운 상황 속에서도 오행의 정수를 모두 찾기 위해 대지여신의 신전으로 향하고, 신전을 지키던 시엔의 할아버지는 천세태자와 판케니아 문명의 시작에 대해 들려준다. 대지여신의 신전에서 빛을 내며 반응하는 천왕보검을 따라 북쪽의 설산으로 새로운 모험을 시작한 손오공과 친구들! 눈보라가 몰아치고 커다란 위험이 계속해서 다가오지만 서로를 지켜주며 숨겨진 도시, 설국 웨르에 도착한다. 손오공은 웨르에서 예상하지 못한 반가운 친구를 만나고 옥황계의 소식을 들을 수 있게 되는데….",10.0,432
70,9788965424215,102502665,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,13900,12510,690,해커스 일본어연구소 저,해커스어학연구소,"따라만 해도 일본어가 술~술~
20일만에 일본어 기초 완성!

일본어를 하나도 몰라도, 따라 읽기만 하면 말문이 트이는 체계적인 학습으로 구성되어 있고 [문형으로 말문 트기+문형 탐구+실생활 회화 자동발사]로 쉽고 재미있게 학습할 수 있다. [문형 활용한 긴 문장 말하기+연습문제로 실력 확인하기]로 배운 것을 내 것으로 만들 수 있으며 문자 암기와 문형 학습을 도와줄 [히라가나/가타카나표+동사 활용표+쓰기 노트+워크북]와 언제 어디서든 MP3를 손쉽게 들을 수 있는 QR코드가 수록되어 있다.",10.0,277
71,9788937460449,176787,데미안,8000,7200,400,헤르만 헤세 저/전영애 역,민음사,"데미안을 통해 참다운 어른이 되어 가는 소년 싱클레어의 이야기.
한 폭의 수채화같이 아름답고 유려한 문체로 전세계인의 사랑을 받고 있는 작품. 감수성이 풍부한 주인공 싱클레어가 소년기에서 청년기를 거쳐 어른으로 자라가는 과정이 세밀하고 지적인 문장으로 그려져 있습니다. 진저한 삶에 대해 고민하고 올바르게 살기 위해 노력하는데미안과 싱클레어의 깊이 있...",10.0,199
72,9791191056372,96547408,돈의 심리학 (30만 부 기념 스페셜 에디션),19800,17820,990,모건 하우절 저/이지연 역,인플루엔셜,"가장 크게 성공한 투자자 vs. 가장 크게 파산한 투자자
무엇이 이 둘의 운명을 갈랐는가

‘소설가의 기술을 가진 금융작가’ ‘스토리텔링의 천재’ 
최우수 비즈니스 작가상 수상에 빛나는 모건 하우절의 역작

왜 누군가는 부자가 되고, 왜 누군가는 실패자로 남는가
전 월스트리트저널 기자가 수많은 취재와 연구 끝에 깨달은 부의 비밀

월스트리트저널에서 10년 넘게 금융과 투자에 대한 글을 써온 칼럼니스트이자 콜라보레이티브 펀드 파트너로 활동중인 모건 하우절의 첫 책이다. 출간 즉시 아마존 투자 분야 1위를 차지했고 개인 투자자부터 전문 컨설턴트까지 극찬 세례를 받으며 명실상부 ‘2020 아마존 최고의 금융도서’로 평가받는다.

《돈의 심리학》은 총 20개 스토리로 구성되어 있다. ‘스토리텔링의 천재’ ‘소설가의 기술을 가진 금융 작가’라는 별명답게 모건 하우절이 들려주는 20개의 투자 스토리는 대단히 매력적이다.",10.0,458
73,9791140712625,142786994,실리콘밸리 프로세스의 힘,21000,18900,1050,신재은 저,더퀘스트,"AI를 필두로 한 최첨단 기술 혁신과 글로벌화가 산업 전반에 걸쳐 급격한 변화를 몰고 오는 전례 없는 기업환경에서도, 실리콘밸리 기업들은 꾸준히 혁신을 거듭하며 시장을 선도하고 있다. 이들은 태생이 디지털 네이티브였기에 기술 중심의 산업과 비즈니스에 가장 최적화된 조직 운영방식을 갖출 수 있었다. 

이 책은 실리콘밸리 선도 기업들의 지속적인 성공을 가능케 하는 ‘프로세스 중심의 조직 운영법’을 알려준다. 구체적으로는 (1)혁신적인 제품 출시, (2)조직의 실행력 강화, (3)강한 조직문화 구축을 체계적으로 실행하게 만드는 프로세스 설계법과 실무 도입 방안 등을 제시한다. 

조직 속도와 실행력으로 고민하는 관리자, 보다 체계적으로 조직을 운영하고 싶은 경영자, 지속적인 혁신과 성공을 창출하고자 하는 리더라면 이 책을 통해 불확실성이 지배한 환경에서도 기업 목표를 달성하고 성공적인 결과를 만들어내는 실리콘밸리식 프로세스 운영법을 익힐 수 있을 것이다.",10.0,482
74,9791198896407,143881599,민주당 DNA 갈아엎기,15800,14220,790,오창석 저,크리에이티비티,"“민주당, 혁신할 것인가 멸망할 것인가”
민주주의가 무너지지 않기 위해 낡은 정치 DNA를 리부트하라

★42만 구독자 유튜브 채널 〈사장남천동〉★
메인 진행자 겸 공동대표 오창석이 제안하는 민주당 DNA를 갈아엎을 핵심 아젠다

대한민국 정치의 변곡점에서 민주당이 직면한 근본적인 문제들이 있다. 변화 없이 낡은 방식으로 대응하는 것, 오로지 자신만의 구호를 외치고 도덕적 우위를 점검하며 ‘우리가 옳다’고만 말하는 일방향적 정치 패턴이다. 이 책은 현재 민주당이 안고 있는 구조적 한계를 냉철하게 파헤친다. 정당 개혁이 필요한 이유, 유권자의 신뢰를 회복하기 위한 방안, 시대 변화에 따른 정책 조정의 필요성을 구체적 데이터와 논리를 통해 제시한다. 초판 『민주당 DNA 갈아엎기』보다 현실 정치의 문제점과 대안들을 추가하고, 시대 변화에 따른 낡은 사례들은 새로 업데이트했다. 

이 책은 단순한 정치 비평서가 아니다.",10.0,461
75,9788932043500,142999143,봄밤의 모든 것,17000,15300,850,백수린 저,문학과지성사,"“아직 어렸던 우리를 향해 희망을 속삭이는 듯했던 그 햇빛”

얼어붙은 줄 알았던 시간 속으로 날아든 작은 기적
부드러운 흰빛으로 가득 찬 백수린의 새로운 계절

한국일보문학상, 현대문학상, 문지문학상 수상 작가 백수린의 네번째 소설집

섬세하고 사려 깊은 시선, 우아하고 단정한 문장으로 고유의 아름다운 세계를 펼쳐 보이며 한국문학을 대표하는 작가로 자리매김한 백수린의 네번째 소설집 『봄밤의 모든 것』이 문학과지성사에서 출간되었다. 데뷔 초 김윤식 문학평론가로부터 “물건 되겠다”는 평을 들은 바 있는 백수린은 이후 발표하는 작품마다 안정적인 호흡으로 “가장 내밀한 내면”을 담아 “가장 보편적인 사건을 만”(김성중 소설가, 제10회 젊은작가상 심사평)들어왔다. 이러한 독자적인 스타일은 문단과 독자들의 지지를 한몸에 받았고 한국일보문학상, 현대문학상, 문지문학상, 이해조소설문학상 등의 수상으로 이어졌다.",10.0,453
76,9791168222724,125183742,뿐이 토핑 이유식,29800,26820,1490,정주희(희야) 저/이수진 감수,서사원,"국민이유식 책 『튼이 이유식』 이후 5년만의 신간!
첫째 튼이에 이어서, 둘째 뿐이도 건강하게 키워낸 
『뿐이 토핑 이유식』을 소개합니다!

첫째 튼이를 건강하게 키운 『튼이 이유식』 출간 이후 5년이 흘렀습니다. 그동안 『튼이 이유식』은 초보 부모들의 이유식 길라잡이자 국민이유식 책이 되었습니다. 희야 작가는 튼이 동생을 갖기 위해 매우 노력했지만 쉽지 않았는데요. 오랜 기다림과 노력 끝에(시험관 7차) 35주 1일 차에 둘째 뿐이는 2.32kg 저체중의 이른둥이로 태어났습니다. 스스로 호흡하는 걸 힘들어해서 태어나자마자 대학병원 신생아 집중치료실에 입원했어요. 게다가 심방중격결손(심장에 구멍이 있다) 진단까지 받아서 엄마아빠 마음이 무너져내렸습니다. 다행히 엄마표 이유식을 먹고 건강하게 자라서 수술 없이 심방중격결손 완치 판정을 받았습니다.",10.0,421
77,9791193383193,138336669,일의 감각,22000,19800,1100,조수용 저,레퍼런스 바이 비(REFERENCE by B),"좋은 감각을 지니려면, 
디자인을 잘하려면, 
더 나은 브랜드를 만들려면 어떻게 해야 하는가

‘일’하는 사람의 섬세한 ‘감각’ 탐구 
조수용의 첫 단독 에세이

한 호에 하나씩, 균형 잡힌 브랜드를 선정하여 그 철학과 감성, 이야기를 소개하는 매거진 『B』의 발행인 조수용의 에세이 『일의 감각』이 출간되었다. 『일의 감각』은 조수용의 첫 단독 저서로, 처음 일을 시작했을 때부터 지금까지 어떤 마음으로 일해왔는지, 디자이너에서 크리에이티브 디렉터, 회사의 대표로 책임의 범위가 넓어지는 동안 어떻게 중심을 잡고 감각을 키워왔는지 그가 진행했던 프로젝트들을 통해 이야기하는 책이다. 

조수용은 네이버의 브랜드 마케팅과 디자인을 총괄하고 카카오 공동대표를 지낸 디자인과 브랜드 전문가이다.",10.0,386
78,9791171712014,126661860,일할 사람이 사라진다,20000,18000,1000,이철희 저,위즈덤하우스,"서울대 국가미래전략원 인구클러스터장 이철희 교수의
노동위기 대한민국 생존 전략!

모두가 대한민국 인구의 미래가 정해졌다고 말한다. 이미 저출생 국면에 접어든 지 오래되었고 인구는 줄어들 수밖에 없으며 어쩌면 대한민국은 소멸할지도 모른다고. 서울대 국가미래전략원 인구클러스터장이자 국내 대표 인구경제학자인 이철희 교수는 『일할 사람이 사라진다』에서 대한민국의 미래, 특히 인구와 노동 시장의 미래는 아직 정해지지 않았다고 조심스레 반박한다. 

정확히 말하면, 장기적 저출생으로 생산연령인구가 줄어들긴 하겠지만 그 미래가 실제 어떤 모습으로 흘러갈지는 현재의 우리가 어떻게 준비하고 행동하느냐에 따라 달라질 것이라고 깊이 있게 분석한 뒤 냉철하면서도 현실적인 조언을 내놓는다.",10.0,378
79,9791157847679,133308510,박태웅의 AI 강의 2025,18800,16920,940,박태웅 저,한빛비즈,"독자들이 꼽은 인공지능 분야 최고의 책
베스트셀러 『박태웅의 AI 강의』, 최신 AI 트렌드를 담아 돌아오다!

2022년 11월 30일 오픈AI의 챗GPT가 등장한 이후, 이듬해 2023년은 ‘AI 쇼크’의 해라고 불러도 될 정도로 인공지능에 대한 관심이 폭발적이었다. 인간처럼, 아니 인간보다 더 글을 잘 써대는 이 생성형 AI를 두고 충격과 놀라움이 2023년 초부터 쏟아졌다. 그리고 이내 서점은 온통 GPT 관련 책으로 도배가 되다시피 했다. 챗GPT의 정체를 설명한 책부터 심지어 챗GPT와 공저한 책까지 등장한 것이다. 하루가 멀다 하고 쏟아지는 인공지능 도서의 홍수 속에서 독자들로부터 압도적으로 선택받은 책이 있었으니, 바로 ‘IT 현자’로 불리는 『박태웅의 AI 강의』였다.",10.0,387
80,9791168473690,117014613,세이노의 가르침,7200,6480,360,세이노(SayNo) 저 ,데이원,"재야의 명저 『세이노의 가르침』 2023년판 정식 출간!
순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다

2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 『세이노의 가르침』이 드디어 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다. 더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의 마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 

필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다.",10.0,458
81,9791136799357,143756152,지박소년 하나코 군 23 트리플 특장판,6000,5400,300,"AidaIro 글,그림/장혜영 역",서울미디어코믹스(서울문화사),"7대 불가사의 시계지기의 재판 판결로, 이 세상은 과거가 개변되고 말았다. 이전과 다른 세계라는 사실을 서서히 인식해가는 네네.",10.0,71
82,9788932043531,143755267,소설 보다: 봄 2025,5500,4950,275,"강보라,성해나,윤단 저",문학과지성사,"새로운 세대가 그려내는 봄의 소설적 풍경

독자에게 늘 기대 이상의 가치를 전하는 특별 기획, 『소설 보다: 봄 2025』이 출간되었다. 「소설 보다」는 문학과지성사가 분기마다 ‘이 계절의 소설’을 선정, 홈페이지에 그 결과를 공개하고 이를 계절마다 엮어 출간하는 단행본 프로젝트로 2018년에 시작되었다. 선정된 작품은 문지문학상 후보로 삼는다.

「소설 보다」 시리즈는 젊은 작가들의 소설은 물론 선정위원이 직접 참여한 작가와의 인터뷰를 수록하여 8년째 독자들의 큰 호응을 얻고 있다. 앞으로도 계절마다 간행되는 〈소설 보다〉는 주목받는 젊은 작가와 독자를 가장 신속하고 긴밀하게 연결하는 가교 역할을 충실히 해낼 것이다.",10.0,350
83,9791193961193,144406363,한권으로 정리한 김종우 도끼 올인원 우편일반,27000,24300,1350,김종우 편저,가치산책컴퍼니,핵심이론 및 암기팁 정리. 확인학습을 위한 OX 지문정리. 기출문제 및 기출 변형 문제 수록.,10.0,52
84,9791187142560,79297023,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),11500,10350,580,데일 카네기 저/임상훈 역,현대지성,"사람의 마음을 사로잡는 가장 빠르고 확실한 방법!
데일 카네기가 전하는 성공하는 인간관계의 비밀

사람을 다루는 핵심 원리는 무엇일까? 어떻게 하면 호감 가는 사람이 될 수 있을까? 원하는 것을 얻어 내는 가장 효과적인 방법은 무엇일까? 인간관계는 친구를 만들고 적을 만들지 않는 것에서 시작된다. 『데일 카네기 인간관계론』은 이런 인간관계의 핵심을 꿰뚫는다. ‘친구를 만들고, 사람을 설득하는 법’이라는 제목으로 1936년 처음 출간된 데일 카네기의 책은 80년 넘게 수많은 사람들에게 영향을 끼쳐 왔다. 이후에 나온 모든 자기 계발서들이 이 책의 영향을 받았다고 해도 과언이 아니다. 세계적인 투자자 워런 버핏의 인생을 바꾼 책이자, 누구나 꼭 읽어야 할 책이기도 하다. 『데일 카네기 인간관계론』은 가장 단순하고 실용적인 원칙들로 복잡한 인간관계에 대한 우리의 고민을 명쾌하게 해결해 준다. 

이 책은 1936년 출간된 초판을 완역해 원전의 맛을 살렸다.",10.0,482
85,9788901241371,89761750,벚꽃 팝콘,13000,11700,650,백유연 저 ,웅진주니어,초록 잎이 하나둘 고개를 내미는 봄날이 왔어요. 겨울잠에서 깬 동물 친구들은 분주하게 무언가를 준비합니다.,10.0,59
86,9791142800238,143786411,반딧불이의 혼례 6 더블특전판,8500,7650,420,"Oreco TACHIBANA 글,그림/유유리 역",서울미디어코믹스(서울문화사),"사토코를 업고 높은 절벽을 기어 올라가는 코타로. 그 끝에는 증오에 찬 눈으로 두 사람을 내려다보는 신페이의 모습이 있었다. 신페이와 코타로. 서로를 용인할 수 없는 남자들의 싸움, 드디어 결착――!! 사토코는 신페이에 대한 사랑을 자각하고 아사기리에게 그 마음을 알린다. 이에 아사기리가 내민 다음 과제는…

“신페이와 몸을 섞고 오렴.",10.0,189
87,9791192300818,122120495,마흔에 읽는 쇼펜하우어,17000,15300,850,강용수 저,유노북스,"하고 싶고 할 수 있는 것에 집중하라!
마흔의 삶에 지혜를 주는 쇼펜하우어의 30가지 조언

마흔의 마음은 복잡하다. 그동안 수많은 시험을 치르고 자리 잡기 시작했지만, 한참 남은 인생이 기대되기보다 늘 그렇듯 같은 일상이 반복될 것이라는 생각을 하게 된다. 벌써부터 웬만한 일은 재미가 없고 뻔하게 느껴진다. 언제부터인가 “산다는 것은 괴로운 것이다”라는 말에 고개를 끄덕이게 됐다. 행복, 고통, 인생에 대해 고민하기 시작한 당신에게 쇼펜하우어의 조언이 필요할 때다.

“즐겁고 행복하게 사는 기술이 삶의 지혜다.”
행복과 고통에 대해 알기 시작할 때, 삶을 현실적으로 보고 싶을 때, 인생의 무게 중심을 옮겨야 할 때, 마음의 위기를 겪을 때, 쇼펜하우어를 빼놓고 인생을 논하지 마라. 쇼펜하우어는 인생에 고난과 고통이 어느 정도 필요하다며, 인생이 고통이라면 ‘진짜 행복’을 위한 고통을 겪으라고 말했다.",10.0,454
88,9791198363503,119700269,아몬드 (청소년판),16800,15120,840,손원평 저,다즐링,"- 전 세계0010 30개국 출간
- 국내 100만 부 판매 베스트셀러 
- 아시아권 최초, 일본 서점대상 1위 수상
- 美 아마존 베스트북 선정
- 특별부록, 단편 외전 수록

인간을 구성하는 두 가지 위대한 키워드, ‘감정’ 그리고 ‘사랑’ 
감정을 느끼지 못하는 독특한 소년의 특별하고 사랑스러운 성장 이야기

청소년, 부모, 성인 독자를 아우르는 
100만 부 베스트셀러, 올타임 스테디셀러 『아몬드』의 귀환!

2017년 처음 출간된 이래 국내 종이책 기준 100만 부 판매를 기록한 베스트셀러이자 스테디 셀러 『아몬드』가 절판기간을 거쳐 재출간된다. 강렬하고 새로운 2종의 표지로 청소년과 성인 독자에게 새롭게 다가가며, 단편 외전이 함께 수록돼 상상력과 읽는 재미를 배가시킨다. 

『아몬드』는 ‘감정을 느끼지 못하는 소년’ 윤재가 세상에 걸음을 내딛는 이야기로, 청소년부터 성인에 이르기까지 전연령대 독자의 꾸준한 사랑을 받아왔다.",10.0,473
89,9788932475400,143605110,공간 인간,19500,17550,970,유현준 저,을유문화사,"인문 건축가 유현준의 신간이 을유문화사에서 출간됐다. 이번 신간은 거시적인 관점에서 공간과 사회가 영향을 주고받으며 발전해 온 모습을 보여 주는데, 그의 기존 책들과 달리 건축적인 요소나 특징 등 눈에 보이는 것보다는 건축이 인류와 공진화해 온 과정에 중점을 두고 큰 그림을 담아냈다. 
이 책은 각 시대를 대표하는 건축물을 중심으로 역사를 읽어 나가면서 건축 양식이 변화해 가는 흐름 속에서 공간과 인간 사회가 함께 진화해 온 건축 공간 발달사를 펼쳐 보인다. 새로운 건축물은 다음 시대를 열었고, 사회를 바꿨고, 인간을 변화시켰다. 신전이 만들어지고 종교 권력이 생겼고, 극장과 경기장이 들어서고 관람 문화가 생겨났으며, 수정궁이 건축되고 소비자라는 계층이 형성됐다. 『공간 인간』은 시대별로 진화 단계에서 필요한 역할을 했던 건축 공간에 관한 이야기로, 저자는 지금 우리 사회의 문제를 해결할 새로운 건축이 필요하다고 말한다.",10.0,465
90,9791193904305,143495406,엔비디아 레볼루션,25000,22500,1250,태 킴 저/김정민 역/김상균 감수,서삼독,"“젠슨, 당신은 천재 아닌가요?”“제가 천재라고요? 글쎄요. 저보다 똑똑한 사람은 세상에 많습니다. 하지만 분명한 건 저보다 열심히 일하는 사람은 절대, 없다는 겁니다.” 젠슨 황과 엔비디아 관계자 100여 명을 직접 인터뷰하여 그들의 생생한 목소리와 엔비디아 일대기를 엮어낸 책이다. 엔비디아 31년의 이야기를 1년 이상의 심층 취재를 거쳐 448페이지의 가장 완전한 형태로 정리한 다큐 스토리이자, 젠슨 황의 기업철학을 담아낸 경영서이다. 

〈배런스〉의 수석기자 태 킴은 젠슨 황은 물론이고 공동창업자인 말라초프스키와 프리엠, 초기 벤처투자자들, 경쟁사 관계자까지 100명이 넘는 관계자들을 취재했다. 그 결과 당시의 사건사고와 개발 비하인드, ‘파산 위기’와 ‘시장 지배’라는 양극단을 오가는 끔찍하고 짜릿한 일화들을 대화 하나까지 리얼하게 그려냈다.",10.0,424
91,9788932473901,65067259,이기적 유전자 The Selfish Gene,20000,18000,1000,"리처드 도킨스 저/홍영남,이상임 공역",을유문화사,"과학을 넘어선 우리 시대의 고전, 『이기적 유전자』 40주년 기념판

리처드 도킨스의 ‘새로운 에필로그’ 수록

새로운 디자인으로 다시 태어난 세계적 베스트셀러



현대 생물학의 새로운 지평을 연 세계적인 석학 리처드 도킨스의 대표작 『이기적 유전자』의 40주년 기념판이 출간되었다. 진화론의 새로운 패러다임을 제시한 이 책은 다윈의 ‘적자생존과 자연선택’이라는 개념을 유전자 단위로 끌어내려 진화를 설명한다. 2013년 영국의 정치평론지 『프로스펙트』지가 독자들의 투표로 선정하는 ‘세계 최고의 지성’ 1위에 오른 바 있는 도킨스는 일찍이 촉망받는 젊은 과학자로 간결한 문체와 생생한 비유, 논리적인 전개를 갖춘 글로 능력을 인정받아 왔다.",10.0,360
92,9788983711892,2312211,코스모스,19900,17910,990,칼 세이건 저/홍승수 역,사이언스북스,"전 세계 60개국에 방송되어 6억 시청자를 감동시킨 텔레비전 교양 프로그램을 책으로 옮긴 칼 세이건(Carl Sagan)의 『코스모스(Cosmos)』. 현대 천문학을 대표하는 저명한 과학자인 칼 세이건은 이 책에서 사람들의 상상력을 사로잡고, 난해한 개념을 명쾌하게 해설하는 놀라운 능력을 마음껏 발휘한다. 그는 에라토스테네스, 데모크리토스, 히파티아, 케플러, 갈릴레오, 뉴턴, 다윈 같은 과학의 탐험가들이 개척해 놓은 길을 따라가며 과거, 현재, 미래의 과학이 이뤘고, 이루고 있으며, 앞으로 이룰 성과들을 알기 쉽게 풀이해 들려준?..",10.0,302
93,9791157064151,142805138,국민이 먼저입니다,22000,19800,1100,한동훈 저,메디치미디어,"계엄의 바다를 건너 새로운 시대로 나아가는 
한동훈의 국민을 위한 ‘선택’과 ‘생각’

2024년 12월 3일. 비상계엄이 대한민국을 뒤흔든 그날 밤, 역사의 질문을 받은 한동훈은 ‘계엄 반대’를 선택했고 자신이 옳다고 믿는 바에 따라 행동했다. 정치인 한동훈의 첫 번째 단독 저서로서 그 의미가 큰 이번 책은 ‘한동훈의 선택’과 ‘한동훈의 생각’ 두 파트로 구성되어 있다. ‘한동훈의 선택’에서는 비상계엄 반대, 계엄 해제 의결, 질서 있는 조기퇴진 시도, 대통령 탄핵소추안 통과, 그리고 당 대표 사퇴까지의 14일 300시간의 이야기가 다큐멘터리 영화를 보듯 생생하게 펼쳐진다. 아울러 대담형식으로 수록된 ‘한동훈의 생각’에서는 정치를 하는 이유, 공직자로서의 사명, 한동훈이 꿈꾸는 행복한 나라 등 그의 정치관과 철학을 들여다볼 수 있다. 계엄의 바다를 건너 새로운 시대로 나아가는 한동훈의 선택과 생각이 오롯이 담겨 있다.",10.0,464
94,9788954616515,5926713,희랍어 시간,13000,11700,650,한강 저,문학동네,"말語을 잃어가는 한 여자의 침묵과
눈眼을 잃어가는 한 남자의 빛이 만나는 찰나의 이야기

어떤 원인도 전조도 없이, 여자는 말語을 잃는다. 그것이 처음 왔던 것은 열일곱 살 겨울. 말을 잃고 살던 그녀의 입술을 다시 달싹이게 한 건 낯선 외국어였던 한 개의 불어 단어였다. 시간은 다시 흘렀다. 이혼을 하고, 아홉 살 난 아이의 양육권도 빼앗기고, 다시 그렇게 말을 잃어버린 후, 일상의 모든 것들을 다 놓을 수밖에 없었던 여자가 선택한 것은 이미 저물어 죽은 언어가 된 희랍어.",10.0,268
